LANGUAGE1,LANGUAGE2,WORD1,WORD2,CATEGORY
SWB,FR,Kavu,Zero,nombre
SWB,FR,Moja,Un,nombre
SWB,FR,Mbili,Deux,nombre
SWB,FR,Traru,Trois,nombre
SWB,FR,Ne,Quatre,nombre
SWB,FR,Tsano,Cinq,nombre
SWB,FR,Sita,Six,nombre
SWB,FR,Saba,Sept,nombre
SWB,FR,Nane,Huit,nombre
SWB,FR,Shendra,Neuf,nombre
SWB,FR,Kumi,Dix,nombre
SWB,FR,Shirini,Vingt,nombre
SWB,FR,uBala,Fermer,verbe
SWB,FR,uEndra,Aller,verbe
SWB,FR,uTria,Metre,verbe
SWB,FR,uRengo,Prendre,verbe
SWB,FR,uDya,Boire,verbe
SWB,FR,uLugua,Parler,verbe
SWB,FR,Bahari ya shiwari,la mer est calme,expression
SWB,FR,Nyambo titi,Petite terre,Lieu
SWB,FR,Nyambo bole,Grande terre,Lieu
SWB,FR,Lashite,La jetée,Lieu
SWB,FR,Bazari,Le marché,Lieu
SWB,FR,Gari,voiture,Transport
SWB,FR,Tsi ji,Je ne comprends pas,phrase
SWB,FR,Kaweri,Au revoir,politesse
SWB,FR,Kisaje,Combien,question
SWB,FR,Tafadali,SVP,politesse
SWB,FR,Gege,Bonjour,politesse
SWB,FR,Ndjema,Ca va merci,politesse
SWB,FR,Coco,Grand mère,famille
SWB,FR,Bacoco,Grand père,famille
SWB,FR,Udu,Noix de coco
